timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
1755872260.982660009,87ffcb507c59,multi-proxy0,1.14%,52.72MiB / 31.15GiB,0.17%,147kB / 152kB,1.84MB / 0B,17
1755872260.982660009,4ab2f4d499aa,multi-proxy1,1.28%,50.3MiB / 31.15GiB,0.16%,146kB / 152kB,406kB / 0B,17
1755872260.982660009,f8cd685deea1,multi-proxy2,1.21%,50.02MiB / 31.15GiB,0.16%,145kB / 151kB,73.7kB / 0B,17
1755872264.512614238,87ffcb507c59,multi-proxy0,4.58%,54.12MiB / 31.15GiB,0.17%,398kB / 159kB,1.84MB / 0B,20
1755872264.512614238,4ab2f4d499aa,multi-proxy1,1.44%,50.37MiB / 31.15GiB,0.16%,178kB / 159kB,406kB / 0B,17
1755872264.512614238,f8cd685deea1,multi-proxy2,4.57%,51.21MiB / 31.15GiB,0.16%,341kB / 157kB,73.7kB / 0B,20
1755872268.043034990,87ffcb507c59,multi-proxy0,4.84%,57.42MiB / 31.15GiB,0.18%,670kB / 162kB,1.84MB / 0B,43
1755872268.043034990,4ab2f4d499aa,multi-proxy1,1.43%,50.37MiB / 31.15GiB,0.16%,205kB / 162kB,406kB / 0B,17
1755872268.043034990,f8cd685deea1,multi-proxy2,9.04%,57.45MiB / 31.15GiB,0.18%,1.03MB / 165kB,73.7kB / 0B,43
1755872271.574232055,87ffcb507c59,multi-proxy0,14.32%,71.85MiB / 31.15GiB,0.23%,2.3MB / 181kB,1.84MB / 0B,46
1755872271.574232055,4ab2f4d499aa,multi-proxy1,1.40%,50.37MiB / 31.15GiB,0.16%,238kB / 166kB,406kB / 0B,17
1755872271.574232055,f8cd685deea1,multi-proxy2,20.59%,66.3MiB / 31.15GiB,0.21%,1.89MB / 171kB,73.7kB / 0B,46
1755872275.117838918,87ffcb507c59,multi-proxy0,24.85%,80.71MiB / 31.15GiB,0.25%,3.66MB / 208kB,1.84MB / 0B,46
1755872275.117838918,4ab2f4d499aa,multi-proxy1,1.39%,50.39MiB / 31.15GiB,0.16%,277kB / 170kB,406kB / 0B,17
1755872275.117838918,f8cd685deea1,multi-proxy2,24.55%,75.11MiB / 31.15GiB,0.24%,3.05MB / 178kB,73.7kB / 0B,46
1755872278.656896725,87ffcb507c59,multi-proxy0,29.95%,83.69MiB / 31.15GiB,0.26%,4.97MB / 230kB,1.84MB / 0B,46
